               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.064105,            0.029307,                   0,                   0,                   0,                   0,                   0,            0.095777,             0.02771,                   0,              0.0883,              0.0013,              0.0013
                   1,            0.080052,            0.030567,                   0,                   0,                   0,                   0,                   0,             0.09534,            0.028247,                   0,            0.075673,           0.0026733,           0.0026733
                   2,            0.076143,            0.030576,                   0,                   0,                   0,                   0,                   0,             0.09534,            0.028247,                   0,            0.063019,           0.0040188,           0.0040188
                   3,            0.086933,            0.030571,                   0,                   0,                   0,                   0,                   0,             0.09534,            0.028247,                   0,            0.050337,           0.0053367,           0.0053367
                   4,            0.098583,            0.030174,                   0,                   0,                   0,                   0,                   0,            0.097544,            0.025994,                   0,            0.037627,           0.0066268,           0.0066268
                   5,            0.078852,            0.029182,                   0,                   0,                   0,                   0,                   0,            0.097544,            0.025994,                   0,            0.024889,           0.0078891,           0.0078891
                   6,            0.078537,            0.029771,                   0,                   0,                   0,                   0,                   0,            0.097544,            0.025994,                   0,            0.012124,           0.0091238,           0.0091238
                   7,            0.076612,            0.029291,                   0,                   0,                   0,                   0,                   0,            0.097544,            0.025994,                   0,            0.009307,            0.009307,            0.009307
                   8,            0.087828,            0.029729,                   0,                   0,                   0,                   0,                   0,            0.095579,            0.023935,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.080135,            0.029321,                   0,                   0,                   0,                   0,                   0,            0.095579,            0.023935,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.086654,            0.029133,                   0,                   0,                   0,                   0,                   0,            0.095579,            0.023935,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.073313,            0.027581,                   0,                   0,                   0,                   0,                   0,            0.095579,            0.023935,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.085583,             0.02923,                   0,                   0,                   0,                   0,                   0,            0.095579,            0.023935,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.076819,            0.027239,                   0,                   0,                   0,                   0,                   0,            0.095631,            0.022231,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.082546,            0.026725,                   0,                   0,                   0,                   0,                   0,            0.095631,            0.022231,                   0,            0.008713,            0.008713,            0.008713
                  15,             0.06857,            0.026394,                   0,                   0,                   0,                   0,                   0,            0.095631,            0.022231,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.070568,            0.026965,                   0,                   0,                   0,                   0,                   0,            0.095631,            0.022231,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.094547,            0.027322,                   0,                   0,                   0,                   0,                   0,            0.095683,            0.021297,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.074133,            0.026225,                   0,                   0,                   0,                   0,                   0,            0.095683,            0.021297,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.063918,            0.024055,                   0,                   0,                   0,                   0,                   0,            0.095683,            0.021297,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.089675,            0.027973,                   0,                   0,                   0,                   0,                   0,            0.095683,            0.021297,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.078874,            0.026799,                   0,                   0,                   0,                   0,                   0,            0.095683,            0.021297,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.090196,            0.025849,                   0,                   0,                   0,                   0,                   0,            0.094257,            0.020296,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.084797,            0.025546,                   0,                   0,                   0,                   0,                   0,            0.094257,            0.020296,                   0,            0.007822,            0.007822,            0.007822
                  24,             0.08942,            0.031909,                   0,                   0,                   0,                   0,                   0,            0.094257,            0.020296,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.080228,            0.026936,                   0,                   0,                   0,                   0,                   0,            0.094257,            0.020296,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.080657,            0.027087,                   0,                   0,                   0,                   0,                   0,            0.094257,            0.020296,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.081243,            0.027484,                   0,                   0,                   0,                   0,                   0,            0.093734,            0.020026,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.090284,            0.025484,                   0,                   0,                   0,                   0,                   0,            0.093734,            0.020026,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.093129,            0.025213,                   0,                   0,                   0,                   0,                   0,            0.093734,            0.020026,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.081972,            0.024044,                   0,                   0,                   0,                   0,                   0,            0.093734,            0.020026,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.086941,            0.025744,                   0,                   0,                   0,                   0,                   0,            0.094665,            0.019015,                   0,             0.00703,             0.00703,             0.00703
                  32,             0.08465,            0.024722,                   0,                   0,                   0,                   0,                   0,            0.094665,            0.019015,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.080588,            0.026933,                   0,                   0,                   0,                   0,                   0,            0.094665,            0.019015,                   0,            0.006832,            0.006832,            0.006832
                  34,             0.08164,            0.025557,                   0,                   0,                   0,                   0,                   0,            0.094665,            0.019015,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.075401,            0.022348,                   0,                   0,                   0,                   0,                   0,            0.094665,            0.019015,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.084739,            0.024781,                   0,                   0,                   0,                   0,                   0,            0.095176,            0.017662,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.078519,              0.0232,                   0,                   0,                   0,                   0,                   0,            0.095176,            0.017662,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.076779,            0.023146,                   0,                   0,                   0,                   0,                   0,            0.095176,            0.017662,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.083575,            0.026604,                   0,                   0,                   0,                   0,                   0,            0.095176,            0.017662,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.084963,            0.023565,                   0,                   0,                   0,                   0,                   0,             0.09087,            0.019598,                   0,            0.006139,            0.006139,            0.006139
                  41,              0.0831,            0.024371,                   0,                   0,                   0,                   0,                   0,             0.09087,            0.019598,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.083763,            0.024057,                   0,                   0,                   0,                   0,                   0,             0.09087,            0.019598,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.063508,            0.022563,                   0,                   0,                   0,                   0,                   0,             0.09087,            0.019598,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.087782,            0.022991,                   0,                   0,                   0,                   0,                   0,             0.09087,            0.019598,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.083453,            0.021899,                   0,                   0,                   0,                   0,                   0,            0.093102,            0.017922,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.082899,            0.022699,                   0,                   0,                   0,                   0,                   0,            0.093102,            0.017922,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.075177,            0.022828,                   0,                   0,                   0,                   0,                   0,            0.093102,            0.017922,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.075809,            0.023027,                   0,                   0,                   0,                   0,                   0,            0.093102,            0.017922,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.077704,            0.022218,                   0,                   0,                   0,                   0,                   0,            0.090801,            0.018383,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.064967,            0.019272,                   0,                   0,                   0,                   0,                   0,            0.090801,            0.018383,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.072629,            0.025326,                   0,                   0,                   0,                   0,                   0,            0.090801,            0.018383,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.084012,            0.022602,                   0,                   0,                   0,                   0,                   0,            0.090801,            0.018383,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.076768,            0.021131,                   0,                   0,                   0,                   0,                   0,            0.090801,            0.018383,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.078485,            0.020484,                   0,                   0,                   0,                   0,                   0,            0.090192,            0.017867,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.074584,            0.020455,                   0,                   0,                   0,                   0,                   0,            0.090192,            0.017867,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.092449,            0.021866,                   0,                   0,                   0,                   0,                   0,            0.090192,            0.017867,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.084861,            0.021881,                   0,                   0,                   0,                   0,                   0,            0.090192,            0.017867,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.071668,            0.021866,                   0,                   0,                   0,                   0,                   0,            0.090192,            0.017867,                   0,            0.004357,            0.004357,            0.004357
                  59,             0.08565,            0.026957,                   0,                   0,                   0,                   0,                   0,            0.088888,            0.018396,                   0,            0.004258,            0.004258,            0.004258
                  60,             0.06788,             0.02082,                   0,                   0,                   0,                   0,                   0,            0.088888,            0.018396,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.074498,            0.023859,                   0,                   0,                   0,                   0,                   0,            0.088888,            0.018396,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.068306,            0.022244,                   0,                   0,                   0,                   0,                   0,            0.088888,            0.018396,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.068683,            0.019936,                   0,                   0,                   0,                   0,                   0,            0.087788,            0.018909,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.078756,            0.021768,                   0,                   0,                   0,                   0,                   0,            0.087788,            0.018909,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.075451,            0.022545,                   0,                   0,                   0,                   0,                   0,            0.087788,            0.018909,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.060378,            0.018705,                   0,                   0,                   0,                   0,                   0,            0.087788,            0.018909,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.070738,            0.018406,                   0,                   0,                   0,                   0,                   0,            0.087788,            0.018909,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.082204,            0.025291,                   0,                   0,                   0,                   0,                   0,            0.085796,            0.019598,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.090861,            0.024822,                   0,                   0,                   0,                   0,                   0,            0.085796,            0.019598,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.071489,            0.023585,                   0,                   0,                   0,                   0,                   0,            0.085796,            0.019598,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.076019,            0.024915,                   0,                   0,                   0,                   0,                   0,            0.085796,            0.019598,                   0,             0.00307,             0.00307,             0.00307
